GEO.id,GEO.id2,GEO.display-label,SGF001,SGF002,SGF003,SGF004,SGF005,SGF006,SGF007,SGF008,SGF009,SGF010,SGF011,SGF012,SGF013,SGF014,SGF015,SGF016,SGF017,SGF018,SGF019,SGF020,SGF021,SGF022,SGF023,SGF024,SGF025,SGF026,SGF027,SGF028,SGF029,SGF030,SGF032,SGF033,SGF034,SGF036,SGF037,SGF038,SGF039,SGF040,SGF041,SGF042,SGF043,SGF044,SGF045,SGF046,SGF047,SGF048,SGF049,SGF050,SGF051,SGF052,SGF053,SGF054,SGF055,SGF056
Geographic identifier code,Id2,Geographic area name,Total Revenue,Total Revenue - General Revenue,Total Revenue - General Revenue - Intergovernmental Revenue,Total Revenue - General Revenue - Intergovernmental Revenue - From Federal,Total Revenue - General Revenue - Intergovernmental Revenue - From Local,Total Revenue - General Revenue - Total Taxes,Total Revenue - General Revenue - Total Taxes - General Sales and Gross Receipts Taxes,Total Revenue - General Revenue - Total Taxes - Selective Sales and Gross Receipts Taxes,Total Revenue - General Revenue - Total Taxes - License Taxes,Total Revenue - General Revenue - Total Taxes - Individual Income Taxes,Total Revenue - General Revenue - Total Taxes - Corporation Net Income Taxes,Total Revenue - General Revenue - Total Taxes - All Other Taxes,Total Revenue - General Revenue - Current Charges,Total Revenue - General Revenue - Miscellaneous General Revenue,Total Revenue - Utility Revenue,Total Revenue - Liquor Stores Revenue,Total Revenue - Insurance Trust Revenue (1),Total Revenue - Insurance Trust Revenue (1) - Unemployment Compensation Systems,Total Revenue - Insurance Trust Revenue (1) - State-Administered Pension Systems,Total Revenue - Insurance Trust Revenue (1) - Workers' Compensation Systems,Total Revenue - Insurance Trust Revenue (1) - Other Insurance Trust Systems,Total Expenditure,Total Expenditure - Intergovernmental Expenditure,Total Expenditure - Direct Expenditure,Total Expenditure - Direct Expenditure - Current Operations,Total Expenditure - Direct Expenditure - Capital Outlay,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,Total Expenditure - Direct Expenditure - Assistance and Subsidies,Total Expenditure - Direct Expenditure - Interest on Debt,Total Expenditure - Exhibit: Salaries and Wages,Total Expenditure - General Expenditure,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,Total Expenditure - General Expenditure - Direct General Expenditure,"General Expenditure, by Function: - Education","General Expenditure, by Function: - Public Welfare","General Expenditure, by Function: - Hospitals","General Expenditure, by Function: - Health","General Expenditure, by Function: - Highways","General Expenditure, by Function: - Police Protection","General Expenditure, by Function: - Correction","General Expenditure, by Function: - Natural Resources","General Expenditure, by Function: - Parks and Recreation","General Expenditure, by Function: - Governmental Administration","General Expenditure, by Function: - Interest on General Debt","General Expenditure, by Function: - Other and Unallocable",Utility Expenditure,Liquor Stores Expenditure,Insurance Trust Expenditure,Insurance Trust Expenditure - Unemployment Compensation Systems,Insurance Trust Expenditure - State-Administered Pension Systems,Insurance Trust Expenditure - Workers' Compensation Systems,Insurance Trust Expenditure - Other Insurance Trust Systems,"Debt Outstanding, Long Term and Short Term",Cash and Security Holdings
0100000US,,United States,1905807119,1629267996,533655081,514139109,19515972,798586949,245238621,133894603,54473926,280614090,41724016,42641693,174233882,122792084,13626445,7114248,255798430,80109746,152590817,15526364,7571503,1981197761,481883230,1499314531,986062966,119668339,303669929,40078288,49835009,251329372,1648195648,481883230,1166312418,588340483,489162351,69265569,61356000,115296570,14275634,48439991,22051093,5720541,52627318,47273956,134386142,23724473,5607711,303669929,95317830,190622956,10923109,6806034,1148934238,3667671249
0400000US01,01,Alabama,28970151,22226197,8227630,8112509,115121,9049294,2274658,2351699,517676,3017437,413253,474571,3787625,1161648,0,267388,6476566,515928,5960638,0,0,27686973,6563313,21123660,14722827,2019406,3475004,564146,342277,4467260,23963102,6563313,17399789,10266418,6383487,1919745,622944,1642445,165180,553060,262363,30174,567410,342277,1207599,0,248867,3475004,712100,2762904,0,0,8719430,38263061
0400000US02,02,Alaska,14983391,14324470,2866427,2860509,5918,7049398,0,248432,135055,0,663144,6002767,602391,3806254,16357,0,642564,213531,424143,4890,0,11729460,1897331,9832129,6762269,1295382,1300476,186508,287494,1830954,10262809,1897331,8365478,2595207,2018001,77000,348287,1071272,146284,312646,318248,20181,681270,282462,2391951,166175,0,1300476,350001,946023,4452,0,5909456,72593198
0400000US04,04,Arizona,32134279,28510923,10752958,10394549,358409,12996421,6210756,1855368,393378,3093904,647809,795206,3207779,1553765,29836,0,3593520,671671,2556104,365745,0,31888001,8023697,23864304,16521095,1625510,4380656,661815,675228,3294463,27475756,8023697,19452059,9113877,8287322,694614,1981599,1943212,240861,927931,268238,93719,633008,673269,2618106,31589,0,4380656,1050005,3190009,140642,0,14507370,48451563
0400000US05,05,Arkansas,18442541,17124473,5909693,5900988,8705,8287744,2809416,1173416,359012,2401902,404083,1139915,2048850,878186,0,0,1318068,748504,549323,20241,0,19618284,5047345,14570939,10898596,1115511,1879946,527793,149093,3006391,17738338,5047345,12690993,7603248,5170079,922948,290129,1174098,101256,414013,258107,60092,622281,149093,972994,0,0,1879946,614582,1249704,15660,0,3655727,26847537
0400000US06,06,California,250971451,199358854,57426009,54145284,3280725,115178568,31253629,10087559,8658041,55024435,7949000,2205904,16705152,10049125,1043360,0,50569237,15170427,27230689,1912778,6255343,269054703,85425616,183629087,111385472,10150635,50276570,4138422,7677988,29064238,217146079,85425616,131720463,72709788,69087772,11272752,7827685,13281731,1542994,8753375,4123922,632621,7871385,7320988,12721066,1632054,0,50276570,15434773,28574208,1421027,4846562,153528617,519751463
0400000US08,08,Colorado,25687893,21883601,6396060,6310538,85522,10262977,2302333,1788312,629101,4875627,492224,175380,3010443,2214121,0,0,3804292,831826,2393078,463194,116194,28238168,6105130,22133038,13554526,1591023,5766768,347431,873290,3885321,22430489,6105130,16325359,9364476,5474323,665485,977094,1345411,141659,1019793,331832,108474,866159,839566,1296217,40911,0,5766768,1541617,3733386,371749,120016,15999530,64711434
0400000US09,09,Connecticut,27327938,24508075,5798580,5781844,16736,15421035,3783635,2910937,416396,7371189,628882,309996,1767855,1520605,36647,0,2783216,1497753,1253342,32121,0,28370101,4614954,23755147,15050749,1647811,4986309,539191,1531087,4351780,22776282,4614954,18161328,6721227,6726928,1292405,941149,1078761,220419,694938,174134,70102,1219799,1531087,2105333,607510,0,4986309,1863052,3091354,31903,0,31965511,39168280
0400000US10,10,Delaware,7948610,7350589,1881424,1814112,67312,3280185,0,491044,1230384,1126014,262378,170365,1068756,1120224,16822,0,581199,153187,419939,8073,0,8315681,1161381,7154300,5000289,793227,871331,231659,257794,2437113,7308545,1161381,6147164,2513271,1865564,49911,433897,582475,119254,282052,94707,38427,449783,257794,621410,135805,0,871331,377996,486764,6571,0,5796853,15055631
