state,state_abb,year,total_revenue,revenue_general_revenue,revenue_intergovernment_revenue,revenue_total_taxes,revenue_general_sales,revenue_selective_sales,revenue_license_taxes,revenue_individual_income_taxes,revenue_corporate_income_taxes,revenue_other_taxes,revenue_current_charges,revenue_misc_general_revenue,revenue_utility_revenue,revenue_liquor_stores_revenue,revenue_insurance_trust_revenue,total_expenditure,expend_intergovernment_expend,expenditure_direct_expenditure,expenditure_current_operations,expenditure_capital_outlay,expend_insurance_benefits_repay,expend_assistance_and_subsidies,expenditure_interest_on_debt,expend_exhibit_salaries_wages,total_general_expenditure,expend_intergov_general_expend,expend_direct_general_expend,expenditure_education,expenditure_public_welfare,expenditure_hospitals,expenditure_health,expenditure_highways,expenditure_police_protection,expenditure_correction,expenditure_natural_resources,expenditure_parks_and_recreation,expend_government_administration,expend_interest_on_general_debt,expend_other_and_unallocable,expenditure_utility_expenditure,expenditure_liquor_stores,expenditure_insurance_trust,debt_at_end_of_fiscal_year,cash_and_security_holdings
alabama,AL,2008,17685597,21306154,7044767,9070530,2287288,2145820,487934,3077553,524808,547127,3472815,1718042,0,248801,-3869358,24892739,6720814,18171925,12943521,1995318,2486673,417577,328836,4194385,22170605,6720814,15449791,10658472,4582199,1808175,699309,1373098,182955,525281,309369,50268,576755,328836,1075888,0,235461,2486673,8472097,38053214
alabama,AL,2007,27147360,20898228,7127552,8868314,2278027,2112359,477462,3019510,505886,475070,3191790,1710572,0,236032,6013100,23492507,6088940,17403567,12520463,1871280,2319053,409178,283593,3795023,20974219,6088940,14885279,9650536,4768598,1622375,643313,1358627,167962,514385,277607,29410,551538,283593,1106275,0,199235,2319053,7059343,43938197
alabama,AL,2006,23716174,20305857,7587498,8529676,2221506,2012389,481969,2766239,558768,488805,2831624,1357059,0,223065,3187252,21550799,5759949,15790850,11339119,1798557,2051175,353647,248352,3476311,19300385,5759949,13540436,8623930,4514070,1546113,525940,1336413,161873,449068,279625,37387,480914,248352,1096700,0,199239,2051175,6372976,38674339
alabama,AL,2005,22296792,18910066,7303635,7774147,2033192,1929624,438447,2536521,397308,439055,2686721,1145563,0,177534,3209192,20346322,5281804,15064518,10721709,1972561,1752881,313971,303396,3365746,18410166,5281804,13128362,7942960,4389131,1711030,481941,1247394,140111,420824,235457,39812,449735,303396,1048375,0,183275,1752881,6261529,34272724
alabama,AL,2004,21401777,17449427,6724211,7018242,1892560,1783002,397429,2243537,292051,409663,2630382,1076592,0,172430,3779920,19544560,4164719,15379841,10740445,1644475,1745203,1013301,236417,3141319,17621702,4164719,13456983,7617223,4568332,1100506,814615,1199566,130234,397943,237615,23014,433653,236417,862584,0,177655,1745203,6363885,32402674
alabama,AL,2003,19098788,16574756,6668784,6416351,1764557,1585666,399871,2035538,242411,388308,2471414,1018207,0,168024,2356008,18471110,4074005,14397105,10379978,1473974,1288155,1002597,252401,3299406,17009944,4074005,12935939,7053792,4531802,1211084,762009,1163904,129591,356928,225308,25422,439143,252401,858560,0,173011,1288155,6284640,28661435
alabama,AL,2002,14942192,15986065,6275399,6509765,1748235,1634833,394973,2030694,322636,378394,2286220,914681,NA,160622,-1204495,17996418,4095562,13900856,9609567,1445150,1675057,929215,241867,3115437,16160326,4095562,12064764,6811434,4110058,1118262,718443,1255800,128801,331476,230519,23155,415209,241867,775302,NA,161035,1675057,6405164,25872581
alabama,AL,2001,17859899,15731646,5715592,6747707,1712639,1585107,432671,2437640,201533,378117,2215646,1052701,0,155329,1972924,16718151,3892653,12825498,9053735,1214496,1505848,783882,267537,2587494,15055914,3892653,11163261,6385451,3776253,1074849,644288,1163889,124884,303759,205794,15956,380880,267537,712374,0,156389,1505848,5577158,28094479
alabama,AL,2000,16856646,14116821,4781099,6438438,1701885,1526560,541645,2071433,243099,353816,2099397,797887,0,151695,2588130,15872589,3908350,11964239,8503158,1136551,1322395,726205,275930,2487819,14399604,3908350,10491254,6224938,3484564,1021054,598894,1076311,117831,278856,194417,11326,345023,275930,770460,0,150590,1322395,5291796,25953796
alabama,AL,1999,15501093,13093255,4281715,6032234,1649120,1480248,454177,1907459,233024,308206,1985493,793813,0,145232,2262606,14701938,3631426,11070512,8068008,851302,1271203,682036,197963,2691396,13289087,3631426,9657661,5751997,3195049,1027751,588248,921658,113709,282458,202937,15401,336255,197963,655661,0,141648,1271203,4467074,24768728
alabama,AL,1998,14843951,12433410,4021037,5739128,1570650,1422930,434433,1793561,248803,268751,1894474,778771,0,141878,2268663,13728431,3419845,10308586,7575449,755486,1107068,668076,202507,2522557,12475614,3419845,9055769,5362196,3027120,948312,554980,882080,102178,257214,180408,20222,318143,202507,620254,0,145749,1107068,4166572,23466316
alabama,AL,1997,14007883,11487011,3553541,5484161,1505713,1360764,424165,1687599,226616,279304,1779578,669731,0,139176,2381696,12944867,3292491,9652376,7241270,770809,1134137,282494,223666,2468794,11668841,3292491,8376350,5175279,2537627,882613,566651,837255,93163,233870,175948,16320,300684,223666,625765,0,141889,1134137,3780493,21639230
alabama,AL,1996,12741148,10894396,3347019,5257771,1439145,1334829,422841,1577914,217616,265426,1640533,649073,0,136392,1710360,12126587,3076820,9049767,6782766,760751,987710,301698,216842,2402694,10991713,3076820,7914893,4872259,2325418,815698,514380,881381,86936,220046,173797,7788,290094,216842,587074,0,147164,987710,3645292,18013799
alabama,AL,1995,12279726,10582838,3240417,5077827,1364911,1280494,480698,1482662,236279,232783,1621125,643469,0,129965,1566923,11541881,2619713,8922168,6703955,808001,912649,303811,193752,2441210,10489513,2619713,7869800,4400912,2291264,811433,491648,924411,83482,231357,185903,10645,299201,193752,565505,0,139719,912649,3758726,17373025
alabama,AL,1994,11599362,10014415,3077084,4767108,1279245,1280747,386771,1367622,218131,234592,1526416,643807,0,129965,1454982,10815221,2349153,8466068,6370171,767100,762811,315344,250642,2334706,9922352,2349153,7573199,3969277,2167799,823194,487044,883852,86839,216691,169019,12053,292209,250642,563733,0,130058,762811,3853804,16206051
alabama,AL,1993,11389335,9688246,2965310,4639784,1190189,1324610,377723,1332878,189506,224878,1483164,599988,0,130321,1570768,10242374,2211563,8030811,5913144,781952,761582,306485,267648,2220916,9339796,2211563,7128233,3663465,2016935,887835,412456,856228,78320,182217,156698,11031,279489,267648,527474,0,140996,761582,4170084,15506309
alabama,AL,1992,10536166,8910315,2737180,4217916,1115516,1103368,395202,1233824,164779,205227,1347766,607453,0,152634,1473217,9650515,2143312,7507203,5564374,664748,724852,273050,280179,2097747,8788293,2143312,6644981,3570524,1853436,780815,394119,694874,77789,182698,151432,9728,274088,280179,518611,0,137370,724852,4128724,14594322
alaska,AK,2018,9919282,8152092,3457365,1641733,0,252974,139691,0,196321,1052747,710091,2342903,21482,NA,1745708,11979183,648930,11330253,8414113,1142969,1407704,156646,208821,1693777,10446105,648930,9797175,1372847,2829723,33660,248999,1325235,185933,435826,564528,23286,956935,206450,2182956,125374,NA,1407704,5889417,88950277
alaska,AK,2017,10561638,8345313,3286785,1189786,0,263120,134928,0,87775,703963,748504,3120238,18690,NA,2197635,11290460,1829640,9460820,6557649,1175802,1367744,158721,200904,1705821,9778966,1829640,7949326,2524056,2724651,28963,229041,1143967,142360,316353,405104,15374,665074,198252,1385771,143750,NA,1367744,5921713,82980365
alaska,AK,2016,8071737,7628656,2853202,1042164,NA,260846,120529,NA,212252,448537,700790,3032500,18640,NA,424441,12452033,2038078,10413955,7223114,1520889,1329941,155125,184886,1718737,10889343,2038078,8851265,2864158,2372655,28295,252016,1290503,140154,344067,479717,16121,701168,181709,2218780,232749,NA,1329941,5953933,74144627
alaska,AK,2015,8419335,7693036,2642995,1394310,0,255971,146846,0,227852,763641,655667,3000064,16828,0,709471,13039766,2036112,11003654,7747540,1510970,1294550,196622,253972,1740153,11581076,2036112,9544964,2703433,2113211,68984,299156,1271514,161965,340726,375310,23949,752588,250304,3219936,164140,0,1294550,5727891,81306779
alaska,AK,2014,12871274,10436362,2810194,3392869,0,257696,141947,0,408938,2584288,627605,3605694,17542,0,2417370,12979282,2059333,10919949,7772455,1432239,1266607,194111,254537,1772499,11484542,2059333,9425209,2787377,2106052,70234,327915,1280403,163869,336833,358952,24164,683455,250410,3094878,228133,0,1266607,6048619,84310180
alaska,AK,2013,14020602,12280315,2754412,5132811,0,249586,135720,0,630941,4116564,623797,3769295,16937,0,1723350,12214628,2032061,10182567,6962794,1460784,1298470,192835,267684,1771274,10707194,2032061,8675133,2806879,2084000,79817,348730,1152768,166917,335234,331740,29247,663166,263066,2445630,208964,0,1298470,6218363,80063967
alaska,AK,2012,14983391,14324470,2866427,7049398,0,248432,135055,0,663144,6002767,602391,3806254,16357,0,642564,11729460,1897331,9832129,6762269,1295382,1300476,186508,287494,1830954,10262809,1897331,8365478,2595207,2018001,77000,348287,1071272,146284,312646,318248,20181,681270,282462,2391951,166175,0,1300476,5909456,72593198
alaska,AK,2011,14920900,12665675,3040677,5537679,0,256014,137889,0,720733,4423043,586262,3501057,17613,0,2237612,11320127,1723023,9597104,6661701,1218201,1244060,183766,289376,1774592,9956134,1723023,8233111,2475486,1917737,66227,362760,1412087,118154,283764,391462,21012,585703,283836,2037906,119933,0,1244060,6417682,69279035
alaska,AK,2010,12381555,11042685,2961501,4522927,0,263005,142849,0,643068,3474005,557786,3000471,18709,0,1320161,11011201,1655467,9355734,6460100,1243983,1168945,178542,304164,1700062,9734692,1655467,8079225,2303781,1799863,55371,300110,1447216,98362,270536,420565,21411,614006,297771,2105700,107564,0,1168945,6416861,60118873
alaska,AK,2009,9641320,11531688,2391445,4955884,0,250267,132504,0,632123,3940990,550563,3633796,17890,0,-1908258,10991829,1616689,9375140,6672521,1245331,960536,186426,310326,1600451,9896330,1616689,8279641,2200202,1582972,35668,321686,1338876,88285,259889,308909,25276,591173,303210,2840184,134963,0,960536,6589698,57260898
alaska,AK,2008,16314578,16182604,2190854,8732385,0,277033,137258,0,1297513,7020581,555151,4704214,17185,0,114789,10115914,1487649,8628265,6032765,1213030,885348,179479,317643,1515581,9148545,1487649,7660896,2165387,1477255,35054,279028,1315648,82585,243961,284520,17274,574841,310066,2362926,82021,0,885348,6491713,62377932
alaska,AK,2007,12819862,10582079,2288973,3688447,0,235797,136315,0,813762,2502573,539866,4064793,16962,0,2220821,9191744,1365793,7825951,5530107,959289,825260,182754,328541,1449862,8291035,1365793,6925242,1985407,1478593,31850,242726,1203249,78978,237144,273914,14224,529858,320603,1894489,75449,0,825260,6553080,58016405
alaska,AK,2006,10844814,8920140,2155908,2484422,0,208898,124135,0,821664,1329725,519470,3760340,15669,0,1909005,8607819,1217110,7390709,5006389,881082,1001348,191581,310309,1372409,7528520,1217110,6311410,1810763,1501486,29595,160763,1133534,71639,210204,273982,10789,493951,302035,1529779,77951,0,1001348,6259951,52475284
alaska,AK,2005,9185403,7880540,2317180,1858311,0,198797,100670,0,588694,970150,479803,3225246,16680,0,1288183,8055865,1145032,6910833,4667052,896979,852754,195517,298531,1308627,7114972,1145032,5969940,1776132,1427178,25777,168896,1056195,74196,196953,308722,9300,429868,289978,1351777,88139,0,852754,5766931,44891199
alaska,AK,2004,8852189,6630141,2193578,1343191,0,172876,83738,0,339564,747013,377517,2715855,14161,0,2207887,8089240,1049706,7039534,4529620,886846,1165261,206582,251225,1199170,6834832,1049706,5785126,1707847,1471607,23043,118307,828835,61681,176642,247000,9527,432840,242443,1515060,89147,0,1165261,5688414,45325821
alaska,AK,2003,6924221,6098669,1997175,1120133,0,152132,70107,0,207075,690819,349567,2631794,15582,0,809970,8121540,1091391,7030149,4733293,934820,947676,149123,265237,1165806,7111497,1091391,6020106,1693672,1312794,35437,168955,810807,83961,182046,256006,9657,377700,256233,1924229,62367,0,947676,5829798,42721407
alaska,AK,2002,5018805,5422566,1556466,1089504,NA,142050,74119,NA,269273,604062,337725,2438871,17388,NA,-421149,7402469,1055596,6346873,4510069,750832,646906,157835,281231,1097282,6702256,1055596,5646660,1566815,1150533,32869,160168,687407,77758,173844,240427,9625,364837,275884,1962089,53307,NA,646906,5307941,39862552
alaska,AK,2001,6185917,6043307,1289816,1428698,0,134637,73417,0,400442,820202,351062,2973731,25257,0,117353,7072000,986921,6085079,4395287,665886,599117,151450,273339,1042670,6413598,986921,5426677,1443738,1022604,18734,162273,649746,71787,172610,254906,9648,361832,263801,1981919,59285,0,599117,4507108,40923672
alaska,AK,2000,8584447,7330352,1201549,1423287,0,137735,91661,0,438438,755453,327098,4378418,25259,0,1228836,6611154,1026962,5584192,3990109,591147,574158,170655,258123,883451,5972185,1026962,4945223,1319094,914855,17571,150313,639941,63311,173624,250331,9055,338503,248106,1847481,64811,0,574158,4150498,47024485
alaska,AK,1999,7312896,5940989,1222794,905135,0,132004,84868,0,211811,476452,313990,3499070,25663,0,1346244,6140559,1028890,5111669,3597095,565699,540189,171243,237443,852214,5571932,1028890,4543042,1325244,790010,22105,159419,577527,61190,153161,257384,13229,316727,217867,1678069,28438,0,540189,3910581,43253920
alaska,AK,1998,9039235,7973315,1079799,1186237,0,116803,94334,0,275758,699342,305602,5401677,21862,0,1044058,5803173,983153,4820020,3486538,382310,548390,161433,241349,977778,5230194,983153,4247041,1207913,758931,26311,161108,549996,57963,158809,264689,16992,345166,224744,1457572,24589,0,548390,3799708,41008373
alaska,AK,1997,9438512,7424923,1042225,1619110,0,96014,77924,0,331337,1113835,300407,4463181,21016,0,1992573,5722455,1015071,4707384,3309084,439775,538748,176749,243028,976442,5159684,1015071,4144613,1198832,742419,28220,159454,589804,56722,152126,288928,15406,334339,226689,1366745,24023,0,538748,3290599,34320002
alaska,AK,1996,8253549,6818956,1017117,1519082,0,99124,78896,0,326270,1014792,294374,3988383,16610,0,1417983,5629502,1057577,4571925,3193946,447790,504055,175247,250887,1001121,5104670,1057577,4047093,1235738,712735,31317,159218,622849,53161,150026,267104,14849,327858,239608,1290207,20777,0,504055,3176601,31309966
alaska,AK,1995,8288036,7358377,980048,1922463,0,101039,75078,0,528005,1218341,278853,4177013,23847,0,905812,5599033,1095556,4503477,3148468,410937,503961,146697,293414,893274,5047423,1095556,3951867,1257989,642672,31771,144182,579041,55290,146625,241582,14661,356308,275631,1301671,47649,0,503961,3232262,28233430
alaska,AK,1994,6203364,5279241,919487,1240275,0,99654,73785,0,176070,890766,268853,2850626,28134,0,895989,5751517,1246725,4504792,3057576,502363,449398,143001,352454,897081,5256168,1246725,4009443,1278065,633407,32710,169672,564753,54946,142174,347771,16039,308122,330229,1378280,45951,0,449398,3585262,26396414
alaska,AK,1993,7358035,6159665,904620,2227283,0,99239,62951,0,872260,1192833,268212,2759550,27682,0,1170688,5423008,1086346,4336662,2919195,428896,427892,135960,424719,898530,4933907,1086346,3847561,1266638,563876,35341,173336,586378,53474,135224,232631,15033,284311,403214,1184451,61209,0,427892,4426963,26903529
alaska,AK,1992,6327318,5342507,773106,1602937,0,101286,80704,0,200025,1220922,277428,2689036,26493,0,958318,5254925,1048860,4206065,2846879,389682,390551,106839,472114,880018,4788127,1048860,3739267,1200990,507655,34411,170885,547162,52292,135804,236426,16829,275966,449430,1160277,76247,0,390551,4941602,24529002
arizona,AZ,2018,45167570,38133225,16011205,16212105,7687992,2020702,495014,4545242,373076,1090079,3186958,2722957,34811,NA,6999534,41145292,10268171,30877121,23083588,1747664,4460692,1044970,540207,4131082,36650241,10268171,26382070,12377309,15233186,251,542656,2348800,282873,1093410,314216,105119,844875,538684,366769,35359,NA,4460692,13703759,57921027
arizona,AZ,2017,43710271,34679384,15347246,13888611,6566503,1973223,505494,3445650,368136,1029605,3095852,2347675,29450,NA,9001437,39078156,9560596,29517560,22068611,1623355,4314875,875318,635401,4090546,34735978,9560596,25175382,11655555,14685574,7459,583978,2217232,280662,1080923,306838,82845,799733,633568,2401611,27303,NA,4314875,14291349,62715526
arizona,AZ,2016,38338699,34689284,14629239,14693921,6660817,2019192,499908,3967924,570548,975532,2880476,2485648,29095,NA,3620320,42204155,10905314,31298841,24140918,1597391,4266980,654100,639452,3973399,37907557,10905314,27002243,12806598,14300784,53321,2640144,2194035,247392,1074044,287964,80650,777015,637325,2808285,29618,NA,4266980,14400191,58120830
arizona,AZ,2015,35346766,31212866,12752207,14082100,6466167,1780226,458737,3760883,690960,925127,2650381,1728178,27589,0,4106311,35687278,7832147,27855131,19524316,1548304,4485569,1893638,403304,4317125,31172671,7832147,23340524,10458097,10440648,61510,2439944,1957688,248909,1115675,279188,63044,751641,401481,2954846,29038,0,4485569,14243659,58944872
arizona,AZ,2014,39393637,29690008,10951041,13424271,6317644,1764349,437127,3462413,575180,867558,3682132,1632564,28763,0,9674866,33433440,7448459,25984981,18131047,1370808,4107480,1855005,520641,4149547,29295921,7448459,21847462,9797942,9100585,854899,2047795,1779400,247617,1070221,268995,79573,716641,519164,2813089,30039,0,4107480,14315828,57816282
arizona,AZ,2013,37272914,29501502,10580523,13796918,6792635,1720399,412769,3397707,662026,811382,3381853,1742208,32894,0,7738518,32168342,7280703,24887639,16968270,1568048,4182959,1668328,500034,3980869,27950784,7280703,20670081,9425150,8494905,683817,1924080,1971558,232360,1028728,263092,78339,649188,498304,2701263,34599,0,4182959,14186861,52506749
arizona,AZ,2012,32134279,28510923,10752958,12996421,6210756,1855368,393378,3093904,647809,795206,3207779,1553765,29836,0,3593520,31888001,8023697,23864304,16521095,1625510,4380656,661815,675228,3294463,27475756,8023697,19452059,9113877,8287322,694614,1981599,1943212,240861,927931,268238,93719,633008,673269,2618106,31589,0,4380656,14507370,48451563
arizona,AZ,2011,38028534,28465777,12360358,12265219,5874113,1749296,418938,2863658,560236,798978,2277144,1563056,29511,0,9533246,32875412,8668387,24207025,16547532,1648490,4720412,627999,662592,3169426,28123095,8668387,19454708,9121942,9511299,52314,1822334,2038165,240169,906213,256522,97087,655362,660422,2761266,31905,0,4720412,14163076,47487739
arizona,AZ,2010,33362229,26844746,12577215,10719958,4939718,1777508,369150,2416324,413193,804065,2091011,1456562,29511,0,6487972,33015591,9179514,23836077,16019332,1628186,5001254,589282,598023,3180343,27982432,9179514,18802918,8806846,9211757,61538,1934704,2117105,239436,1061067,273975,83401,691953,595853,2904797,31905,0,5001254,13960248,41842910
arizona,AZ,2009,23232885,25547876,10402074,11134403,4878883,1831662,400987,2575753,592187,854931,1899187,2112212,29810,0,-2344801,31516818,9618970,21897848,15450621,1700592,3665790,572839,508006,3286804,27819006,9618970,18200036,8859323,8770335,62173,1728249,2309492,268685,1135021,273817,124043,713057,505602,3069209,32022,0,3665790,12324879,39049289
arizona,AZ,2008,27144911,26534908,8887402,13153271,5741914,1851551,420770,3408576,784511,945949,1746819,2747416,28132,0,581871,30857509,10320506,20537003,14700559,1657863,3178919,506178,493484,3343240,27647520,10320506,17327014,9408525,7927027,71539,1620620,2367086,273533,1023693,321173,132563,767263,490912,3243586,31070,0,3178919,10519389,47226651
arizona,AZ,2007,31885916,26192089,8123983,14404976,6612350,1677310,413204,3747387,986170,968555,1598695,2064435,28301,0,5665526,28828472,10341643,18486829,13394918,1313852,2828181,480745,469133,3152977,25969333,10341643,15627690,9160086,7249710,70490,1450493,2019439,252728,946922,336109,204024,706242,466409,3106681,30958,0,2828181,9546428,49675743
arizona,AZ,2006,29656215,24622750,8093916,13355582,6311293,1600310,370461,3253279,890004,930235,1419649,1753603,26329,0,5007136,26349076,9063746,17285330,12386584,1495486,2534237,461205,407818,2938158,23785735,9063746,14721989,8089314,6730036,61832,1350533,2052762,222711,879959,280904,223074,658955,404956,2830699,29104,0,2534237,8410076,44405246
arizona,AZ,2005,25452661,21494170,7566075,11008428,5208070,1490944,325931,2848450,701859,433174,1284139,1635528,26472,0,3932019,24114417,8028519,16085898,11351059,1573075,2450757,452925,258082,2751702,21633090,8028519,13604571,7835788,6179132,62077,1270421,1738776,205139,852183,278157,253332,533330,255091,2169664,30570,0,2450757,8037412,42080157
arizona,AZ,2004,23784448,18980232,6987389,9637369,4719642,1382146,289803,2315865,525650,404263,1169721,1185753,25446,0,4778770,21765804,7556518,14209286,9893298,1461931,2179136,434275,240646,2627433,19558495,7556518,12001977,7150342,5147119,59012,1138653,1891625,188754,791043,238297,167668,502377,237436,2046169,28173,0,2179136,6773923,38840515
arizona,AZ,2003,17927436,16890346,6092557,8691761,4332982,1178497,271023,2102361,389406,417492,988573,1117455,25013,0,1012077,19606017,6936753,12669264,8825995,1241058,2074418,331701,196092,2632816,17503052,6936753,10566299,6419012,4482224,53792,845027,1839644,172512,731041,231187,108807,464598,192416,1962792,28547,0,2074418,5554020,34307037
arizona,AZ,2002,17297726,15860392,5259991,8477321,4283681,1068529,270631,2090645,346280,417555,925000,1198080,23018,NA,1414316,18606630,6902301,11704329,8327312,1014488,1845124,327899,189506,2539720,16734370,6902301,9832069,6326736,3998137,73430,913302,1679641,166831,734167,203588,62661,522310,185777,1867790,27136,NA,1845124,4347558,32651826
arizona,AZ,2001,15488897,14980264,4449959,8360376,3825282,1038738,257881,2303888,541174,393413,880080,1289849,20734,0,487899,17143148,6439144,10704004,7276644,1016317,1589779,625486,195778,2680834,15528201,6439144,9089057,5689018,3222661,84634,954431,1584079,161140,760323,175688,57828,501859,192049,2144491,25168,0,1589779,3710911,37541254
arizona,AZ,2000,16315430,14258579,4120073,8100737,3632686,1010854,260188,2291883,523182,381944,833148,1204621,21865,0,2034986,16315915,5940651,10375264,7175727,1206313,1264551,564832,163841,2596585,15025421,5940651,9084770,5225930,3038187,81544,1028977,1825561,158048,719690,161003,49298,478812,160112,2098259,25943,0,1264551,3101233,35190012
arizona,AZ,1999,15121888,13077480,3662296,7542735,3309921,985424,246472,2098350,545388,357180,777268,1095181,21549,0,2022859,14278357,5944003,8334354,5569277,1134910,1125216,350900,154051,2441693,13127188,5944003,7183185,4735867,2461064,66505,737725,1630806,151087,740342,151006,51377,457978,150322,1793109,25953,0,1125216,2725113,35724215
arizona,AZ,1998,16582495,11813762,3329995,6949370,3050111,958092,233167,1863196,528161,316643,745626,788771,20550,0,4748183,13327967,5023261,8304706,5660035,888544,1230712,370625,154790,2280083,12069852,5023261,7046591,4392711,2648198,62466,656826,1192360,134753,717458,155794,47853,419284,151061,1491088,27403,0,1230712,2806922,31570957
arizona,AZ,1997,13692375,11499078,3237414,6833806,2855234,948216,437200,1668414,600890,323852,714261,713597,25167,0,2168130,12418681,4528382,7890299,5480384,768110,1124193,354768,162844,2139788,11266376,4528382,6737994,4033411,2688434,54907,558780,1167477,132094,564150,167453,43764,331261,159096,1365549,28112,0,1124193,2741940,25614579
arizona,AZ,1996,12594269,10866578,3104914,6409395,2720378,937787,391385,1494282,448040,417523,666399,685870,21392,0,1706299,11898144,4255135,7643009,5168574,812062,1055586,421670,185117,1738600,10817960,4255135,6562825,3787629,2604854,56490,543341,1143426,120135,499420,169167,29473,356946,181013,1326066,24598,0,1055586,2936004,21215501
arizona,AZ,1995,12593371,10509675,3026512,6223489,2771856,827935,343607,1482749,417481,379861,619315,640359,19200,0,2064496,11162452,3992499,7169953,4866267,622500,1066842,430043,184301,1668427,10072094,3992499,6079595,3601018,2468116,55212,489489,925358,109774,436779,159104,25992,332543,180062,1288647,23516,0,1066842,3037066,18430585
arizona,AZ,1994,11748570,9706807,2829890,5656858,2494391,775008,321227,1408535,303239,354458,669223,550836,18265,0,2023498,10522311,3577730,6944581,4760933,622055,969074,402381,190138,1515012,9529970,3577730,5952240,3306759,2318661,89071,467729,1053985,98449,383997,142034,28868,323497,185615,1131305,23267,0,969074,3170472,16737885
