state,state_abb,year,total_revenue,revenue_general_revenue,revenue_intergovernment_revenue,revenue_total_taxes,revenue_general_sales,revenue_selective_sales,revenue_license_taxes,revenue_individual_income_taxes,revenue_corporate_income_taxes,revenue_other_taxes,revenue_current_charges,revenue_misc_general_revenue,revenue_utility_revenue,revenue_liquor_stores_revenue,revenue_insurance_trust_revenue,total_expenditure,expend_intergovernment_expend,expenditure_direct_expenditure,expenditure_current_operations,expenditure_capital_outlay,expend_insurance_benefits_repay,expend_assistance_and_subsidies,expenditure_interest_on_debt,expend_exhibit_salaries_wages,total_general_expenditure,expend_intergov_general_expend,expend_direct_general_expend,expenditure_education,expenditure_public_welfare,expenditure_hospitals,expenditure_health,expenditure_highways,expenditure_police_protection,expenditure_correction,expenditure_natural_resources,expenditure_parks_and_recreation,expend_government_administration,expend_interest_on_general_debt,expend_other_and_unallocable,expenditure_utility_expenditure,expenditure_liquor_stores,expenditure_insurance_trust,debt_at_end_of_fiscal_year,cash_and_security_holdings
alabama,AL,2018,34406835,28250965,10303451,11055577,2786833,2747974,521990,3912800,577516,508464,5372012,1519925,NA,350913,5804957,33899390,7006778,26892612,18465571,2397764,3606905,2026561,395811,5006399,29951784,7006778,22945006,12051715,8612680,3009374,427034,2017229,178415,595676,270436,24709,675722,395811,1233507,135,340566,3606905,9856082,39602773
alabama,AL,2017,32081908,26772097,9949247,10418152,2654883,2592411,529607,3624543,520113,496595,5040778,1363920,NA,325393,4984418,33881477,6931626,26949851,19070573,1983157,3481902,2024435,389784,4922514,30078232,6931626,23146606,12847883,8547055,2875275,551627,1659619,171607,553944,295316,22814,645732,389784,1517576,75,321268,3481902,8772871,46184255
alabama,AL,2016,30502706,25619102,9746605,9919794,2596223,2509879,507479,3492904,376680,436629,4849827,1102876,NA,325393,4558211,30434595,6741304,23693291,17181943,1857949,3541484,773560,338355,4760946,26568093,6741304,19826789,11376230,7272507,2636578,517728,1653128,170514,542699,274859,18359,592730,338355,1174406,75,324943,3541484,8667105,42962452
alabama,AL,2015,26896290,24624640,8838667,9755439,2463912,2472137,493883,3336587,533586,455334,4600676,1429858,0,308180,1963470,29377161,6612535,22764626,15965471,2082490,3651229,699293,366143,4638869,25436524,6612535,18823989,10786908,6872757,2353941,526982,1810319,185170,562859,281706,19647,608951,366143,1061141,0,289408,3651229,8969350,44861358
alabama,AL,2014,28283150,22951473,8135043,9296846,2393192,2419482,386378,3206583,406408,484803,4255483,1264101,0,288982,5042695,28416987,6474302,21942685,15550184,1926118,3358956,653499,453928,4505550,24788868,6474302,18314566,10481327,6630759,2228213,527036,1737825,170911,550956,271382,21126,592594,453928,1122811,0,269163,3358956,8907686,43500898
alabama,AL,2013,28468410,22762997,8338033,9270919,2331676,2376842,490430,3202520,382202,487249,3965673,1188372,0,278248,5427165,28203758,6476073,21727685,15061164,2358894,3335438,617154,355035,4479000,24601701,6476073,18125628,10616535,6386764,2132163,558857,1753303,160779,533083,276034,20371,584862,355035,1223915,0,266619,3335438,9094764,41204130
alabama,AL,2012,28970151,22226197,8227630,9049294,2274658,2351699,517676,3017437,413253,474571,3787625,1161648,0,267388,6476566,27686973,6563313,21123660,14722827,2019406,3475004,564146,342277,4467260,23963102,6563313,17399789,10266418,6383487,1919745,622944,1642445,165180,553060,262363,30174,567410,342277,1207599,0,248867,3475004,8719430,38263061
alabama,AL,2011,25444244,23273238,8881520,8631984,2174639,2400488,496117,2795906,301178,463656,4452308,1307426,0,266951,1904055,28061272,6800787,21260485,14898156,1920251,3526199,565447,350432,4665923,24290468,6800787,17489681,10938129,5961891,1948230,609367,1616245,183957,563058,270950,36497,579928,350432,1231784,0,244605,3526199,9067280,34375958
alabama,AL,2010,27058029,23224028,9369725,8419911,2097434,2348046,492844,2616000,428245,437342,4105973,1328419,0,252034,3581967,27699687,6604013,21095674,14664600,2074629,3441537,542260,372648,4444987,24016434,6604013,17412421,10555436,6032533,2043064,608732,1514572,188062,551544,328307,43674,589904,372648,1187958,0,241716,3441537,8785245,34217563
alabama,AL,2009,20036326,21103234,7727088,8306446,2069535,2133748,478927,2662759,493972,467505,3674221,1395479,0,252052,-1318960,26422265,6535634,19886631,13906375,2319427,2846717,473380,340732,4424475,23335185,6535634,16799551,10562134,5452015,1781709,586529,1630041,188250,541049,296527,38642,585530,340732,1332027,0,240363,2846717,8155943,33894271
